name;year;price;place;liters;engine_type;transmission_type;drivetrain_type;mileage;car_is_new;normal_price;high_price;no_eval_price
Kia Rio; 2021;1759990;Нижний Новгород;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;18 тыс. км;0;1;0;0
Kia Rio; 2017;709000;Казань;1.6 л (123 л.с.),;бензин,;механика,;передний,;160 тыс. км;0;0;0;1
Kia Rio; 2014;735000;Новосибирск;1.4 л (107 л.с.),;бензин,;АКПП,;передний,;158 тыс. км;0;1;0;0
Kia Rio; 2018;1230000;Новокузнецк;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;95 тыс. км;0;1;0;0
Kia Rio; 2020;1750000;Барнаул;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;15 тыс. км;0;0;1;0
Kia Rio; 2007;375000;Пермь;1.4 л (97 л.с.),;бензин,;механика,;передний,;204 тыс. км;0;1;0;0
Kia Rio; 2019;1700000;Сургут;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;25 тыс. км;0;0;1;0
Kia Rio; 2012;620000;Тюмень;1.6 л (123 л.с.),;бензин,;механика,;передний,;138 тыс. км;0;1;0;0
Kia Rio; 2016;950000;Железногорск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;73 тыс. км;0;1;0;0
Kia Rio; 2012;599000;Новокузнецк;1.4 л (107 л.с.),;бензин,;механика,;передний,;86 тыс. км;0;0;0;0
Kia Rio; 2015;800000;Ставрополь;1.6 л (123 л.с.),;бензин,;механика,;передний,;92 тыс. км;0;1;0;0
Kia Rio; 2021;1869000;Саратов;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;27 тыс. км;0;0;1;0
Kia Rio; 2018;808000;Иркутск;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;100 тыс. км;0;0;0;0
Kia Rio; 2013;600000;Барнаул;1.4 л (107 л.с.),;бензин,;механика,;передний,;206 тыс. км;0;1;0;0
Kia Rio; 2017;950000;Ижевск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;90 тыс. км;0;1;0;0
Kia Rio; 2012;780000;Тюмень;1.6 л (123 л.с.),;бензин,;механика,;передний,;62 тыс. км;0;1;0;0
Kia Rio; 2013;650000;Кемерово;1.6 л (123 л.с.),;бензин,;механика,;передний,;171 тыс. км;0;1;0;0
