,name,year,price,place,liters,engine,transmission,drivetrain,mileage,new,hp,body_type
59,Kia Rio,2013,675000,Иркутск,1.6,petrol,mechanic,front_wheel,1000,0,123,sedan
60,Kia Rio,2009,530000,Москва,1.4,petrol,automatic,front_wheel,196000,0,95,sedan
61,Kia Rio,2003,230000,Москва,1.5,petrol,mechanic,front_wheel,169000,0,97,sedan
62,Kia Rio,2015,699000,Санкт-Петербург,1.6,petrol,automatic,front_wheel,264000,0,123,sedan
63,Kia Rio,2014,825000,Челябинск,1.6,petrol,automatic,front_wheel,58000,0,123,sedan
64,Kia Rio,2022,1840000,Омск,1.6,petrol,automatic,front_wheel,1000,0,123,sedan
65,Kia Rio,2016,936999,Кемерово,1.6,petrol,automatic,front_wheel,89000,0,123,sedan
66,Kia Rio,2020,1329999,Кемерово,1.6,petrol,automatic,front_wheel,94000,0,123,sedan
67,Kia Rio,2019,780000,Шали,1.6,petrol,automatic,front_wheel,123000,0,123,sedan
69,Kia Rio,2010,475000,Саратов,1.4,petrol,mechanic,front_wheel,120000,0,95,sedan
70,Kia Rio,2016,848000,Уфа,1.6,petrol,automatic,front_wheel,128000,0,123,sedan
71,Kia Rio,2012,638000,Красноярск,1.4,petrol,mechanic,front_wheel,121000,0,107,sedan
72,Kia Rio,2015,799000,Новокузнецк,1.4,petrol,mechanic,front_wheel,57000,0,107,sedan
73,Kia Rio,2012,580000,Новосибирск,1.6,petrol,automatic,front_wheel,250000,0,123,sedan
74,Kia Rio,2018,1020000,Новосибирск,1.6,petrol,mechanic,front_wheel,66000,0,123,sedan
75,Kia Rio,2019,1285000,Канск,1.6,petrol,automatic,front_wheel,55000,0,123,sedan
76,Kia Rio,2011,350000,Новокузнецк,1.4,petrol,mechanic,front_wheel,236000,0,95,sedan
77,Kia Rio,2018,999500,Ярославль,1.4,petrol,automatic,front_wheel,84000,0,100,sedan
78,Kia Rio,2020,1423000,Тюмень,1.6,petrol,automatic,front_wheel,72000,0,123,sedan
79,Kia Rio,2016,869000,Красноярск,1.6,petrol,automatic,front_wheel,132000,0,123,sedan
80,Kia Rio,2012,720000,Бийск,1.6,petrol,automatic,front_wheel,145000,0,123,sedan
81,Kia Rio,2015,800000,Чебоксары,1.6,petrol,mechanic,front_wheel,110000,0,123,sedan
82,Kia Rio,2017,985000,Тюмень,1.6,petrol,automatic,front_wheel,109000,0,123,sedan
